tic,n_events_ge2,max_event_snr,period_fap,tls_sde,ra,dec,Tmag,Teff,rad
259592530,1,2.2091875476662977,,6.507883049572566,72.8356328735169,-53.405878697049,8.2255,5172.93,0.740898
259472825,10,2.7573962074850455,0.4315684315684315,4.309572264486891,70.4779852983834,-52.4097930284277,10.0027,5647.3,1.1066
259472888,10,3.887854627631375,0.1508491508491508,4.262854518520499,70.3853408145003,-52.2020613866182,9.4762,5515.0,0.847646
259477227,10,2.8662668707002115,0.4285714285714285,4.106152632865462,70.795277815884,-52.8451522839391,10.9846,6313.0,2.78162
260507598,20,4.428356766610867,0.1058941058941058,8.845456429164255,96.6816151741089,-59.0244330007573,7.8263,5856.5,2.32337
260476107,35,4.949937235993316,0.8361638361638362,9.258338121948608,96.3418242147144,-58.2429018077406,10.2283,5931.42,1.1898
260266449,30,5.218142943913564,0.5174825174825175,11.234955738475772,94.0744282765022,-59.3151587983147,9.6568,6045.0,0.958611
260604509,7,2.5642210511073897,0.4955044955044955,4.854917659176037,97.3291114753739,-59.7660771690874,10.5676,5872.02,1.32402
260604507,15,3.396637030887457,0.8541458541458542,6.204032793881386,97.3712662844788,-59.7674658352165,7.8762,7091.0,2.77307
260420823,39,4.267820470546797,0.0519480519480519,5.167915065304812,96.0072170942639,-59.8504791047785,11.8616,5017.44,0.883272
260750374,12,4.228163376723921,0.5094905094905094,4.806311150383379,345.981871714234,-71.2636808612925,10.7711,4947.0,0.764714
260854590,14,4.283065866581732,0.7342657342657343,5.664618498462264,349.871699142283,-70.3231750458219,8.2291,5970.0,0.964254
262810040,8,4.111927171914377,0.3306693306693307,6.082945384996652,23.7494814193497,1.67370471021065,10.185,5370.0,0.836396
261543672,15,3.634339121941886,0.6553446553446554,6.7566494542945446,348.692339617998,-76.9008335129205,10.5551,5768.1,1.755
260476779,37,4.553825054693636,0.4885114885114885,6.175275705722728,96.2686817999792,-59.6775950365315,10.3089,5599.93,0.973442
260507876,43,5.936533665003445,0.8961038961038961,5.420055605539352,96.6032786944457,-59.5556661323556,12.4747,6029.34,1.77286
262824477,12,3.5062873395302483,0.2947052947052947,6.779396664386374,348.856663143172,-56.0155268224207,8.7225,5976.0,1.21481
