key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match,tic,baseline,bbin,fap_lut
270303376_P8.0_R4_107,inj,True,6.742484824595129,0.8207412164189162,6.0,0.2007992007992008,0.198019801980198,8.0,False,270303376,27.868337013889686,0,0.6223444138965258
231839537_P8.0_R4_101,inj,True,2.019364603123611,0.5774082531691335,16.0,0.3336663336663337,0.3465346534653465,8.0,False,231839537,56.221259745369025,3,0.5271182204448888
92258567_P2.0_R8_108,inj,True,0.5026166209032699,0.7654866912738525,18.0,0.0009990009990009,0.0001609161035375,2.0,False,92258567,27.266188414352655,0,0.0014996250937265683
144434171_P2.0_R8_110,inj,True,2.0240502331008217,0.5882022862944376,20.0,0.0139860139860139,1e-06,2.0,False,144434171,27.40664730323624,0,0.05973506623344164
441491515_P2.0_R8_111,inj,True,1.934424340951851,0.6241955323414419,12.0,0.2887112887112887,0.3267326732673267,2.0,False,441491515,27.350013275463425,0,0.47063234191452136
260604509_P2.0_R8_115,inj,True,0.6635240136586178,0.7151186202869794,10.0,0.1148851148851148,0.0540296437110562,2.0,True,260604509,27.350328645828995,0,0.2831792051987003
24270027_P2.0_R8_114,inj,True,0.6636181802585441,0.6808931514137896,11.0,0.0449550449550449,0.0490531768395458,2.0,True,24270027,27.34999326388788,0,0.2961759560109973
120505367_P2.0_R8_113,inj,True,0.6708512867690289,0.8021708735915549,14.0,0.0039960039960039,1e-06,2.0,True,120505367,27.406969849536836,0,0.0047488127968008
231045282_P2.0_R8_109,inj,True,2.005819472789144,0.6291163616598897,29.0,0.0009990009990009,1e-06,2.0,True,231045282,55.276008067128714,3,0.0007498125468632841
44624744_P2.0_R8_116,inj,True,2.0195744185315845,0.7357093179509512,18.0,0.0009990009990009,1e-06,2.0,True,44624744,27.883598379630712,0,0.0032491877030742314
231044412_P2.0_R8_112,inj,True,0.5001339318160427,0.579394226106508,32.0,0.0049950049950049,0.002461306616424,2.0,False,231044412,55.27581011573784,3,0.0032491877030742314
156087003_P2.0_R8_117,inj,True,0.5005075746376145,0.6335254839550092,20.0,0.0049950049950049,0.0001838304097902,2.0,False,156087003,27.406959629624907,0,0.018745313671582105
144446304_P2.0_R8_119,inj,True,0.5025235357508785,0.5601247481710744,20.0,0.0359640359640359,0.0461864145003932,2.0,False,144446304,27.40668550926057,0,0.12196950762309422
389131517_P2.0_R8_118,inj,True,2.029265021489639,0.7390059119998188,16.0,0.0039960039960039,1e-06,2.0,False,389131517,27.88283780092752,0,0.0047488127968008
149011533_P4.0_R8_120,inj,True,1.3458484885505917,0.5564750828848958,16.0,0.1718281718281718,0.2178217821782178,4.0,True,149011533,27.407094548609166,0,0.4091477130717321
37774136_P4.0_R8_122,inj,True,0.9966408439819896,0.6625727147109635,12.0,0.1308691308691308,0.1584158415841584,4.0,False,37774136,27.34949790509563,0,0.2656835791052237
117643471_P4.0_R8_121,inj,True,1.965008941733994,0.5424235446918108,14.0,0.2837162837162837,0.3069306930693069,4.0,False,117643471,27.407151666666323,0,0.7173206698325418
406353280_P4.0_R8_125,inj,True,0.6836126464154261,0.412069504673674,15.0,0.93006993006993,0.9207920792079208,4.0,False,406353280,27.349389884257107,0,0.9990002499375156
284083051_P4.0_R8_126,inj,True,0.514821919455421,0.5419587237179652,12.0,0.5324675324675324,0.4653465346534653,4.0,False,284083051,27.350031782407314,0,0.894526368407898
52016952_P4.0_R8_124,inj,True,0.5012471651749316,0.5954918335312067,14.0,0.1048951048951049,0.1089108910891089,4.0,False,52016952,27.883384583328734,0,0.3806548362909273
98659013_P4.0_R8_129,inj,True,2.324397571480035,0.4547176020354138,15.0,0.8121878121878122,0.7821782178217822,4.0,False,98659013,27.349494155088905,0,0.9720069982504373
115284339_P4.0_R8_130,inj,True,3.1167675466426257,0.6528710648320878,9.0,0.2237762237762237,0.2178217821782178,4.0,False,115284339,27.349742349535518,0,0.7735566108472882
143923307_P4.0_R8_127,inj,True,3.988122835745425,0.4651836118827306,22.0,0.5174825174825175,0.4554455445544554,4.0,True,143923307,27.88321799768164,0,0.5176205948512872
70788069_P4.0_R8_128,inj,True,0.8373981641868746,0.3703669134254181,20.0,0.918081918081918,0.900990099009901,4.0,False,70788069,27.40711173611635,0,0.9962509372656836
219334470_P4.0_R8_131,inj,True,1.1136414399767247,0.4354712532904797,20.0,0.6623376623376623,0.6336633663366337,4.0,False,219334470,27.883616400467872,0,0.8417895526118471
40103277_P2.0_R1_135,inj,True,1.4052674172400483,0.7361956071396015,8.0,0.3186813186813186,0.2376237623762376,2.0,False,40103277,27.346797951387998,0,0.5316170957260685
12434574_P2.0_R1_134,inj,True,2.93957887074066,0.913301648614834,9.0,0.0709290709290709,0.0666181128394903,2.0,False,12434574,27.40720295139181,0,0.003749062734316421
181454895_P2.0_R1_133,inj,True,0.8235991225233708,0.4493931066537617,19.0,0.8151848151848152,0.8316831683168316,2.0,False,181454895,27.883264861113275,0,0.8225443639090227
167797589_P4.0_R8_123,inj,True,1.33537094331,0.4446137192090623,42.0,0.0409590409590409,1e-06,4.0,True,167797589,84.09062347222061,3,0.049237690577355664
336876701_P2.0_R1_136,inj,True,1.5293789444245762,0.4471124966714463,13.0,0.8661338661338661,0.8217821782178217,2.0,False,336876701,27.35009743055707,0,0.9982504373906523
98678529_P2.0_R1_137,inj,True,0.5793283631596922,0.686965146861262,9.0,0.4275724275724276,0.4653465346534653,2.0,False,98678529,27.349517349532107,0,0.596350912271932
380436218_P2.0_R1_138,inj,True,0.6339052032028106,0.8151685579553972,9.0,0.0489510489510489,0.0808170452129993,2.0,False,380436218,27.35028572916781,0,0.08897775556110972
206350311_P2.0_R1_132,inj,True,1.395729796182625,0.4551141307161006,22.0,0.4525474525474525,0.4356435643564356,2.0,False,206350311,56.22063829861145,3,0.8572856785803549
220394878_P2.0_R1_140,inj,True,0.6320645927288623,0.7441583586033955,8.0,0.1118881118881118,0.0816896547608539,2.0,False,220394878,27.350186759264034,0,0.49612596850787305
52315024_P2.0_R1_139,inj,True,0.5249217659249403,0.650310634635447,13.0,0.1308691308691308,0.1683168316831683,2.0,False,52315024,27.406564305558277,0,0.20819795051237192
92706840_P2.0_R1_141,inj,True,0.6593615947923009,0.6638687353047266,8.0,0.4715284715284715,0.5346534653465347,2.0,False,92706840,27.867716493055923,0,0.8777805548612847
