key,kind,routed,P_hat,obs_R,n_events,fap_ref,fap_evt,P_true,period_match
66435575_P1.0_R4_70,inj,True,1.002133419628535,0.8929278626704692,15.0,0.002997002997002997,1e-06,1.0,True
114953091_P2.0_R4_73,inj,True,1.0097188058748465,0.6017143496849492,18.0,0.02097902097902098,1e-06,2.0,True
181454895_P2.0_R4_72,inj,True,0.5020720412584941,0.5210032777650702,25.0,0.10589410589410589,0.1485148514851485,2.0,False
20923934_P2.0_R4_79,inj,True,0.6652730719827045,0.7019018470437317,13.0,0.03996003996003996,0.027804324576101797,2.0,True
66410290_P2.0_R4_77,inj,True,0.5021843152649019,0.6377712307456692,19.0,0.011988011988011988,1e-06,2.0,False
120565939_P2.0_R4_81,inj,True,0.9916571360638751,0.5533840539516747,20.0,0.058941058941058944,0.04228639004578558,2.0,True
234497476_P2.0_R4_75,inj,True,0.5000584555180135,0.9254348719494794,27.0,0.000999000999000999,2.641052574611737e-05,2.0,False
262810040_P2.0_R4_83,inj,True,0.5037284319581049,0.7274261345740461,11.0,0.03296703296703297,0.049634060744583326,2.0,False
12418307_P2.0_R4_82,inj,True,0.7925720118184253,0.6243331601665383,14.0,0.1978021978021978,0.19801980198019803,2.0,False
369603767_P2.0_R4_78,inj,True,0.6679287318702021,0.5884965942048074,34.0,0.000999000999000999,1e-06,2.0,True
144406842_P4.0_R4_85,inj,True,0.6693580839392704,0.44834331599705335,18.0,0.6463536463536463,0.594059405940594,4.0,False
219342752_P2.0_R4_80,inj,True,0.6678597326687044,0.6330179098633633,44.0,0.000999000999000999,1e-06,2.0,True
11645778_P4.0_R4_87,inj,True,1.3524336294087382,0.6730098788875389,12.0,0.15884115884115885,0.13861386138613863,4.0,False
370233036_P4.0_R4_88,inj,True,1.9192908026422375,0.4937889557150479,15.0,0.5384615384615384,0.5643564356435643,4.0,False
66399111_P4.0_R4_84,inj,True,1.1616830557398443,0.5974206049193871,17.0,0.21078921078921078,0.19801980198019803,4.0,False
389756744_P4.0_R4_86,inj,True,1.969701521232228,0.6666196347963623,10.0,0.4835164835164835,0.48514851485148514,4.0,False
80340568_P4.0_R4_93,inj,True,1.9850678776191923,0.5416308086850876,17.0,0.23876123876123875,0.27722772277227725,4.0,True
100123131_P4.0_R4_90,inj,True,0.5742683299697603,0.3218779574847339,35.0,0.9660339660339661,0.9900990099009901,4.0,False
231044412_P4.0_R4_91,inj,True,1.9908450329810115,0.38963007714571063,27.0,0.6893106893106893,0.6435643564356436,4.0,True
369964134_P4.0_R4_89,inj,True,0.5002121006512587,0.5238754943704722,26.0,0.056943056943056944,0.059482337384224704,4.0,False
207174734_P4.0_R4_92,inj,True,0.5484234910071029,0.441351778748043,26.0,0.26373626373626374,0.3465346534653465,4.0,False
281593180_P4.0_R4_94,inj,True,4.07393186891666,0.6529851207566847,13.0,0.1068931068931069,0.16831683168316833,4.0,False
248947399_P4.0_R4_95,inj,True,1.0107649377998877,0.7980155993981146,5.0,0.5314685314685315,0.6039603960396039,4.0,False
75353949_P8.0_R4_98,inj,True,1.008235659911602,0.5868705028092253,8.0,0.6153846153846154,0.6336633663366337,8.0,False
120505367_P8.0_R4_97,inj,True,2.306506780719381,0.9178446054774871,5.0,0.2757242757242757,0.3069306930693069,8.0,False
70723782_P8.0_R4_96,inj,True,0.6730737329844843,0.4947343946759256,18.0,0.5154845154845155,0.5742574257425742,8.0,False
237356492_P8.0_R4_100,inj,True,2.529962684428643,0.8505359917812714,6.0,0.24875124875124874,0.32673267326732675,8.0,False
161169062_P8.0_R4_99,inj,True,2.697462839945017,0.38496513401428123,19.0,0.973026973026973,0.9603960396039604,8.0,False
40083560_P8.0_R4_104,inj,True,0.524186516343969,0.5490900752400347,11.0,0.5644355644355644,0.5247524752475248,8.0,False
98666650_P8.0_R4_105,inj,True,0.5721566615698167,0.5722756070156013,11.0,0.36063936063936064,0.42574257425742573,8.0,False
155895287_P8.0_R4_102,inj,True,8.195930231158352,0.9919469760025706,3.0,0.2547452547452547,0.24752475247524752,8.0,False
158536220_P8.0_R4_103,inj,True,0.5594275516928716,0.4775804800543352,14.0,0.5464535464535465,0.5643564356435643,8.0,False
