tic,white,red,n_events,routed
441491515,0.0,0.0,0,False
33490526,0.0,0.0,0,False
101017638,0.0,0.0,0,False
175475124,1.895160823161585,2.202356363292094,2,True
40103277,0.7596664586297628,0.625318693526443,3,True
152475818,0.0,0.0,0,False
336874964,0.0,0.0,0,False
401890220,0.0,0.0,0,False
220482148,0.0,0.0,0,False
393490564,0.0,0.0,0,False
40103287,0.0,0.0,0,False
293618282,0.0,0.0,0,False
161168483,6.043387104664377,4.33487254691083,2,True
206564625,0.0,0.0,0,False
180723706,0.0,0.0,0,False
