tic,P,Rp,b,k,t14_seeded,Lb,obs_R,P_hat,P_true,fap_sealed,fap_full,fap_cur,bitexact,gate_sealed,gate_full,gate_cur,n_cur,curtailed,t_sealed,t_full,t_cur
150104808,2.0,8,0.0,9,0.05,0.15000000000000002,0.7096540292581556,0.7567749990989461,2.0,0.15984015984015984,0.15984015984015984,0.01098901098901099,True,False,False,False,72,True,37.04611,3.9011219999999867,0.27691600000002836
40182390,2.0,12,0.6,9,0.1,0.30000000000000004,0.9450763552676288,1.9667156499014102,2.0,0.01098901098901099,0.01098901098901099,0.01098901098901099,True,False,False,False,974,True,9.18305799999996,1.5231229999999982,1.471774000000039
279091054,2.0,8,0.0,19,0.1,0.30000000000000004,0.9589716924832021,0.5003370598943564,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,21.567097999999987,3.066011000000003,3.0637120000000095
3836364,2.0,12,0.3,9,0.05,0.15000000000000002,0.9303589838361397,1.9681886625219251,2.0,0.007992007992007992,0.007992007992007992,0.007992007992007992,True,True,True,True,1000,False,9.559660000000008,1.518807000000038,1.5184709999999768
161174069,2.0,12,0.0,15,0.1,0.30000000000000004,0.8956609789122943,1.990330012709449,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.984510999999998,2.081549999999993,2.101323999999977
100101948,2.0,12,0.3,24,0.1,0.30000000000000004,0.9221329216745755,2.005515064038282,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,25.095016999999984,3.543182999999999,3.4250089999999886
259472825,4.0,2,0.0,3,0.1,0.30000000000000004,0.9999621737177979,4.020203160494931,4.0,0.1878121878121878,0.1878121878121878,0.01098901098901099,True,False,False,False,36,True,8.054512000000045,1.4038449999999898,0.050503999999989446
70776480,2.0,12,0.6,12,0.1,0.30000000000000004,0.9907370806466993,1.0015945002581799,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.472822000000008,2.0595630000000256,2.055718000000013
389527466,2.0,12,0.0,12,0.1,0.30000000000000004,0.9619521661097921,2.01751958585399,2.0,0.000999000999000999,0.000999000999000999,0.000999000999000999,True,True,True,True,1000,False,13.96414500000003,2.0636989999999855,2.0533399999999915
80342205,4.0,2,0.6,2,0.1,0.30000000000000004,1.0,1.327311218600547,4.0,0.1798201798201798,0.1798201798201798,0.01098901098901099,True,False,False,False,81,True,11.491387000000032,1.9196870000000104,0.15390100000001894
