task,tic,period_days,radius_rearth,b,cost_full,cost_full_wall,cost_full_cpu_spread,cost_detector,cost_period,cost_tls,cost_comb,fast_path_eligible,routed_in_retime,confirmed_cheap,n_repeats,ge,E_surrogates,cost_detector_leverA,cost_detector_leverAB,cost_comb_leverA,cost_comb_leverAB,cost_comb_free_detector
5378,142105308,2.0,1,0.0,83.17116499999975,83.65044333400147,13.508555166374135,17.10418800000116,0.0,83.17116499999975,100.2753530000009,True,True,False,5,130.0,76.9230769230769,2.694846069009163,0.20978091661463777,85.8660110690089,83.38094591661438,83.17116499999975
5152,31654804,2.0,1,0.6,151.1974969999992,151.7919339999935,28.747727560644726,22.266303000000335,0.0,151.1974969999992,173.46379999999954,True,True,False,5,568.5,17.605633802816904,3.5081618087285857,0.0652063675666652,154.70565880872778,151.26270336756588,151.1974969999992
5458,142105308,2.0,1,0.6,93.47863300000064,94.26726291699742,10.753395218067633,16.871821999999156,0.0,93.47863300000064,110.35045499999978,True,True,False,5,109.0,91.74311926605506,2.6582357019062792,0.2462867839552244,96.13686870190692,93.72491978395587,93.47863300000064
5611,11646650,2.0,2,0.0,17.627887999999075,17.829163333997712,5.050127521706519,0.0049289999988104,0.0,17.627887999999075,17.632816999997885,True,True,False,5,,1000.0,0.0007765873639216007,0.0007765873639216007,17.628664587362998,17.628664587362998,17.627887999999075
5651,11646650,2.0,2,0.3,21.765935000001264,21.911320624996733,5.202657114937041,0.0066600000009202,0.0,21.765935000001264,21.772595000002184,True,True,False,5,,1000.0,0.0010493146369812824,0.0010493146369812824,21.766984314638243,21.766984314638243,21.765935000001264
5518,409137046,2.0,2,0.0,50.108220000000074,50.40106395800103,8.02727100885236,13.226070000000618,0.0,50.108220000000074,63.33429000000069,True,True,False,5,103.0,97.08737864077673,2.0838301559793,0.2041932442883221,52.19205015597937,50.31241324428839,50.108220000000074
5502,231280161,2.0,2,0.6,154.76568399999996,157.11357050000515,16.075545212087302,23.011907000000065,0.0,154.76568399999996,177.77759100000003,True,True,False,5,581.0,17.21170395869191,3.6256352607531217,0.06596303299803256,158.39131926075308,154.831647032998,154.76568399999996
5845,13099134,2.0,2,0.0,29.96981500000038,29.986709916003747,3.420268556936494,8.291517000001477,0.0,29.96981500000038,38.26133200000186,True,True,False,5,276.0,36.23188405797102,1.3063678903421263,0.04858994788239186,31.276182890342508,30.01840494788277,29.96981500000038
5756,55296811,2.0,2,0.3,152.4244319999998,153.75911141699908,29.2602884672994,20.493531999998595,0.0,152.4244319999998,172.9179639999984,True,True,False,5,331.0,30.211480362537767,3.228853316527272,0.10067661526703885,155.65328531652708,152.52510861526684,152.4244319999998
5836,55296811,2.0,2,0.0,143.49497000000156,144.41803499999514,27.41981590936319,21.45919899999899,0.0,143.49497000000156,164.95416900000055,True,True,False,5,367.5,27.247956403269757,3.3809987395618384,0.09541089410055226,146.8759687395634,143.5903808941021,143.49497000000156
