tic,arm,P_true,Rp,b,period_min,sde,period_hat,recovered,period_ok,sde_ok
304102181,A_edge_pmin0.5,0.5,8,0.0,0.5,36.15931875259053,0.9997998202204664,False,True,True
304102181,B_extended_pmin0.3,0.5,8,0.0,0.3,36.15931875259053,0.9997998202204664,False,True,True
304102181,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,57.01545621440836,0.6200001636840806,True,True,True
80260513,A_edge_pmin0.5,0.5,8,0.0,0.5,21.136498719290003,1.0003161064169546,True,True,True
80260513,B_extended_pmin0.3,0.5,8,0.0,0.3,21.136498719290003,1.0003161064169546,True,True,True
183594608,A_edge_pmin0.5,0.5,8,0.6,0.5,34.642814792022826,0.9997613695582829,True,True,True
299897517,A_edge_pmin0.5,0.5,8,0.3,0.5,36.577569958117415,0.9998178151914424,False,True,True
80260513,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,14.081629404175521,0.620188104263738,True,True,True
299897517,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,45.037370872939164,0.620011793280756,True,True,True
299897517,B_extended_pmin0.3,0.5,8,0.3,0.3,36.577569958117415,0.9998178151914424,False,True,True
183594608,B_extended_pmin0.3,0.5,8,0.6,0.3,34.642814792022826,0.9997613695582829,True,True,True
183594608,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,41.643372934949916,0.6201103617366925,True,True,True
401986029,A_edge_pmin0.5,0.5,8,0.6,0.5,23.285175472611943,1.000286251786645,False,True,True
401986029,B_extended_pmin0.3,0.5,8,0.6,0.3,23.285175472611943,1.000286251786645,False,True,True
401986029,C_offnode_P0.62_pmin0.5,0.62,8,0.6,0.5,26.184137335253425,0.6201684936410972,True,True,True
161223640,A_edge_pmin0.5,0.5,8,0.3,0.5,23.626314480892514,0.999648940354576,False,True,True
161223640,B_extended_pmin0.3,0.5,8,0.3,0.3,23.626314480892514,0.999648940354576,False,True,True
393490406,A_edge_pmin0.5,0.5,8,0.0,0.5,37.028519013051465,0.9998561028429972,True,True,True
101101390,A_edge_pmin0.5,0.5,8,0.6,0.5,17.748286390051295,0.999323343410517,True,True,True
393490406,C_offnode_P0.62_pmin0.5,0.62,8,0.0,0.5,40.18623778465287,0.6199030391088621,True,True,True
161223640,C_offnode_P0.62_pmin0.5,0.62,8,0.3,0.5,28.436305045841497,0.6202383301622415,True,True,True
393490406,B_extended_pmin0.3,0.5,8,0.0,0.3,37.028519013051465,0.9998561028429972,True,True,True
