tic,P,Rp,b,k_inj,k_host,obs_R,fap_contaminated,fap_clean,ge_contaminated,ge_clean,gate_contaminated,gate_clean,n_transits
161376469,4.0,8,0.0,8,1,0.8562074044500017,0.1068931068931069,0.2217782217782218,106,221,False,False,7
218972061,4.0,8,0.6,6,0,0.9885061067496104,0.002997002997002997,0.04195804195804196,2,41,True,False,7
219221780,4.0,12,0.6,4,0,0.9775870595611791,0.17682317682317683,0.11488511488511488,176,114,False,False,5
155895287,4.0,12,0.3,7,0,0.9740281941033035,0.05194805194805195,0.000999000999000999,51,0,False,True,7
231009108,4.0,12,0.3,7,0,0.9703109234725747,0.008991008991008992,0.002997002997002997,8,2,True,True,7
80342205,4.0,12,0.0,8,0,0.9567338998147388,0.054945054945054944,0.022977022977022976,54,22,False,False,7
183594608,4.0,12,0.0,12,0,0.9696828037923056,0.000999000999000999,0.09490509490509491,0,94,True,False,13
169266000,4.0,12,0.6,8,0,0.9653379976397797,0.024975024975024976,0.055944055944055944,24,55,False,False,7
150270977,4.0,8,0.6,16,2,0.9520972547192496,0.000999000999000999,0.3996003996003996,0,399,True,False,20
150390619,4.0,8,0.3,18,1,0.9498091593310279,0.000999000999000999,0.5024975024975025,0,502,True,False,20
370233036,8.0,1,0.3,2,2,1.0,0.11988011988011989,0.11588411588411589,119,115,False,False,4
139844443,8.0,2,0.3,2,0,1.0,0.18981018981018982,0.06493506493506493,189,64,False,False,4
270269007,8.0,4,0.0,3,0,0.9928967964154887,0.21678321678321677,0.04195804195804196,216,41,False,False,4
355508749,8.0,4,0.6,3,0,0.9918659254301636,0.21678321678321677,0.03496503496503497,216,34,False,False,4
231912935,8.0,2,0.0,3,3,0.978632017957511,0.4085914085914086,0.4145854145854146,408,414,False,False,7
278990983,8.0,4,0.0,2,1,1.0,0.1878121878121878,0.11288711288711288,187,112,False,False,7
66410290,8.0,4,0.6,3,0,0.9920561792013232,0.25574425574425574,0.002997002997002997,255,2,False,True,4
219334689,8.0,4,0.3,11,5,0.7273595508591352,0.44555444555444557,0.8191808191808192,445,819,False,False,7
207174734,8.0,4,0.3,6,0,0.9841735286579429,0.07092907092907093,0.04695304695304695,70,46,False,False,7
410253041,8.0,8,0.0,5,0,0.9641495343703821,0.13686313686313686,0.002997002997002997,136,2,False,True,4
149993861,8.0,2,0.3,8,2,0.9397947379720477,0.11788211788211789,0.5704295704295704,117,570,False,False,10
41898474,8.0,8,0.0,4,4,0.9940731315250806,0.13986013986013987,0.13386613386613386,139,133,False,False,7
421937394,8.0,8,0.6,4,1,0.9600165935788496,0.17082917082917082,0.34465534465534464,170,344,False,False,4
197978738,8.0,12,0.6,4,0,0.9672133446313784,0.10789210789210789,0.000999000999000999,107,0,False,True,4
254302983,8.0,12,0.3,5,1,0.8922724165788988,0.42957042957042957,0.1928071928071928,429,192,False,False,4
24696180,8.0,8,0.3,10,3,0.8440614608433832,0.09090909090909091,0.7842157842157842,90,784,False,False,7
92497469,8.0,12,0.0,6,2,0.8913570639268358,0.12287712287712288,0.5194805194805194,122,519,False,False,4
12787544,8.0,12,0.3,5,1,0.9750015856322889,0.07692307692307693,0.13486513486513488,76,134,False,False,4
144434171,16.0,1,0.0,3,2,0.9027727383971652,0.47952047952047955,0.3516483516483517,479,351,False,False,2
279318109,8.0,8,0.3,16,8,0.6899330409029933,0.06393606393606394,0.9400599400599401,63,940,False,False,10
267090033,16.0,2,0.0,2,2,0.0,1.0,1.0,1000,1000,False,False,2
231840839,8.0,12,0.6,5,1,0.9589072127867612,0.056943056943056944,0.2857142857142857,56,285,False,False,7
469939625,16.0,2,0.6,2,2,0.9108098547511851,0.5544455544455544,0.5724275724275725,554,572,False,False,2
