tic,kind,P,t0,T14,Lambda,delta,n_in,n_transits,sign_pass,odd_even_pass,no_secondary_pass,shape_pass,confirmed_Tred0
100106368,random,6.964669949633959,1358.2534426776451,0.05,0.0,-0.00015114122677443176,216,6,False,True,True,True,False
100106368,random,2.2295700192964083,1356.3449608122908,0.4,0.0,-1.2359920126576417e-05,4765,18,False,True,True,True,False
100106368,random,11.83154600741873,1356.584469397274,0.4,0.0,-3.195834271654904e-05,1008,5,False,True,True,True,False
100101948,seed,1.7416966263297124,1364.833990469134,0.05,13.352720144512825,0.00017506765854253034,785,22,True,True,True,True,True
100101948,random,1.4866423587256976,1356.3639785589485,0.8,0.5775748046678648,1.5160516072135805e-05,14689,28,True,True,True,True,True
100101948,random,8.1954085618322,1356.1672355788169,0.8,3.4709000590396,4.685780134752708e-05,2864,6,True,True,True,True,True
100101948,random,6.833846153056917,1357.0159809048296,0.4,0.0,-4.194622919661057e-05,1910,7,False,True,True,True,False
100101948,random,3.7058865291336716,1358.7600491549665,0.05,0.7427828429770074,6.151629213953655e-05,354,10,True,True,True,True,True
100101948,random,6.372483876989455,1359.5805051437387,0.4,0.0,-2.068718653395439e-05,1955,7,False,True,True,True,False
100101948,random,1.7644309685965802,1357.0468341943788,0.4,1.3413785578209318,2.3300917766923877e-05,6360,24,True,True,True,True,True
100101948,random,11.49139216541409,1358.5712400796638,0.8,0.0,-7.599836244496985e-06,2256,4,False,True,True,True,False
100101948,random,1.580161424290437,1356.1703305515302,0.1,1.317125179792653,3.6603869234238185e-05,1776,25,True,True,True,True,True
100101948,random,0.7214197320022019,1355.3775533606417,0.1,0.10591559671430255,7.007401550362778e-06,3773,54,True,True,True,True,True
100101948,random,1.3316812500954731,1355.9123229160607,0.05,0.19680936648561717,1.8630347066519627e-05,1026,29,True,True,True,True,True
100101948,random,11.11134373402977,1363.2444206498806,0.2,0.0,-0.00010429836912450198,313,3,False,True,True,True,False
100101948,random,9.428558010516896,1355.8351351182357,0.4,0.36350015316820466,2.139635735200656e-05,1433,5,True,True,True,True,True
100101948,random,16.935750948029902,1369.437095778165,0.4,3.525382049693735,0.0001056003953644549,575,2,True,True,True,True,True
100101948,random,2.0640644554658327,1356.6282355799717,0.05,3.4084596765018094,9.365581421605245e-05,706,20,True,True,True,True,True
100101948,random,1.4555177519940445,1355.6073674427378,0.2,0.0,-1.526602632224765e-06,3722,28,False,True,True,True,False
100101948,random,4.99648732506721,1357.3635053421547,0.4,1.1404189659463508,3.040570156341509e-05,2231,8,True,True,True,True,True
100101948,random,3.276001747999853,1356.7704729966938,0.8,0.0,-5.725238730122375e-06,6778,12,False,True,True,True,False
100101948,random,3.8922119522516745,1357.2525625566084,0.8,0.6194246564441636,1.5595499937418458e-05,5683,11,True,True,True,True,True
100101948,random,0.874787024902807,1355.5899114382678,0.4,0.47385342438743117,1.3463770385621655e-05,12943,47,True,True,True,True,True
100101948,random,2.374357255916832,1356.4423093910066,0.2,0.0,-4.001166774221005e-05,2363,18,False,True,True,True,False
