tic,P,Rp,b,seed,k,obs_R,obs_span,obs_nfreq,P_hat,period_match,epoch_match,seed_correct,t14_seeded,t0_hat,Lb,P_true,t0_true,t14_true,n_transits,gR,gW,recR,recW,baseline,sector_class
410253041,0.5,4,0.3,20260680,47,0.9758120475371505,24.516245772709,142,0.5010254493578717,True,True,True,0.05,1340.4633279308491,0.15,0.5,1338.4636319340786,0.0505266512373474,51,True,True,True,True,25.377340962173776,1-sector
254302983,0.5,4,0.6,20260684,47,0.9940538781086582,24.49347134485288,142,0.5002037882189585,True,True,True,0.05,1373.9565480368844,0.15,0.5,1362.4551342497782,0.0447988094283811,50,True,True,True,True,24.904585022047286,1-sector
149993861,0.5,2,0.6,20260669,22,0.8545295616613807,72.99483824151616,433,0.5004387796311623,True,True,True,0.05,1328.542610933188,0.15,0.5,1338.549296902292,0.0415623629017613,157,False,True,False,True,78.41848747226913,2-sector
197978738,0.5,4,0.0,20260685,18,0.8481372549462517,22.013600825583808,127,0.5033428812825962,True,False,False,0.05,1344.1471851207305,0.15,0.5,1350.136137118862,0.092806870698769,51,True,True,False,False,25.378817352685473,1-sector
92497469,0.5,4,0.3,20260686,44,0.9365616026821504,24.512151534445593,142,0.5007891924794705,True,False,False,0.05,1342.9553911648964,0.15,0.5,1348.5558844375505,0.0457748678085791,51,True,True,False,False,25.178813652026975,1-sector
41898474,0.5,2,0.3,20260677,4,0.9985787409390552,10.809984138473055,62,3.603328046157685,False,False,False,0.05,1359.3383260503708,0.15,0.5,1391.0245651453445,0.1134945925265517,100,True,False,False,False,49.604301162181855,2-sector
24696180,0.5,2,0.6,20260678,9,0.8344860354387047,41.98316670409713,248,0.5004163323016659,True,True,True,0.2,1351.2118771253286,0.6000000000000001,0.5,1345.221746211624,0.0816935798414932,108,False,False,False,False,53.716366959894685,2-sector
200746541,0.5,4,0.3,20260689,32,0.9572616980974747,17.03201638482051,97,0.5021787372665646,True,True,True,0.05,1400.5231724628754,0.15,0.5,1391.5063078840678,0.1152691952930173,36,True,True,True,True,17.77646262516282,1-sector
270481071,0.5,4,0.6,20260690,46,0.984904218766848,24.01115387015261,139,0.5009809137559332,True,True,True,0.05,1366.28684957701,0.15,0.5,1374.795803339153,0.0614463610700128,50,True,True,True,True,24.90420986296249,1-sector
293525326,0.5,4,0.0,20260691,48,0.9639515900007818,25.00107206381358,145,0.5003182604070997,True,True,True,0.05,1351.878801511234,0.15,0.5,1338.369784233602,0.0562955123810964,51,True,True,True,True,25.37745824106446,1-sector
144434171,0.5,4,0.3,20260692,47,0.992054645174844,24.49556410080504,142,0.5002442527669416,True,True,True,0.05,1365.1597974883637,0.15,0.5,1356.1583023320868,0.0564293492224539,50,True,True,True,True,24.90389521795896,1-sector
12787544,0.5,4,0.6,20260687,47,0.9965005585688088,24.48978896296376,142,0.5001297444388605,True,True,True,0.05,1359.9417233698769,0.15,0.5,1377.9432038830685,0.0466679545216401,50,True,True,True,True,24.902275643343728,1-sector
231840839,0.5,4,0.0,20260688,41,0.9872565632214464,50.99586667716653,301,0.5002004950340203,True,True,True,0.05,1368.6356447162912,0.15,0.5,1333.6579593720744,0.0841935951789524,105,True,True,True,True,52.28060838118313,2-sector
317088106,0.5,4,0.6,20260693,47,0.991279283509676,25.000885136609213,145,0.5003145187619424,True,True,True,0.05,1329.328783045261,0.15,0.5,1335.8221858504612,0.0728641783665305,51,True,True,True,True,25.37726736533864,1-sector
219334470,0.5,4,0.0,20260694,40,0.9593553664000756,23.986350501679222,139,0.500861145076168,True,True,True,0.05,1344.4802218228342,0.15,0.5,1346.974662343231,0.0603489584160646,51,True,True,True,True,25.379425266278304,1-sector
279318109,0.5,4,0.6,20260681,80,0.9392861926767208,77.99655290934902,463,0.5000123055578816,True,False,False,0.05,1339.682056935934,0.15,0.5,1381.289382013667,0.0533236220612233,157,True,True,False,False,78.41738968043933,2-sector
421937394,0.5,4,0.0,20260682,15,0.8780326553934671,22.006577975148048,127,0.5031875116876696,True,False,False,0.05,1349.6162858836756,0.15,0.5,1334.11382151115,0.0580967652833634,51,True,True,False,False,25.377343164984495,1-sector
164768954,0.5,4,0.6,20260699,28,0.9292345355655324,16.991779923961985,97,0.5010593348170503,True,True,True,0.05,1394.024368319027,0.15,0.5,1401.0382558566785,0.053236360114664,36,True,True,True,True,17.776504766578,1-sector
284083051,0.5,4,0.0,20260700,26,0.9405887192035725,16.512497151510615,94,0.5025442062112423,True,False,False,0.05,1389.7692722242032,0.15,0.5,1400.779981594623,0.0786612322232267,36,True,True,False,False,17.776396603705507,1-sector
267090033,0.5,4,0.3,20260695,13,0.7698644975408854,20.25124931673008,117,0.5029794973535084,True,False,False,0.05,1348.5204212590038,0.15,0.5,1333.2726903962882,0.0530769123128349,51,False,False,False,False,25.378976301742114,1-sector
