tic,k,obs_R,obs_nfreq,ge_own,ge_fixed,gate_own,gate_fixed
248392812,10,0.6769867131040714,79,304,300,False,False
248945311,12,0.5619201255304532,80,268,250,False,False
248945424,11,0.5572373443826125,84,475,480,False,False
248946014,9,0.6217591919940663,83,500,491,False,False
248947399,5,0.7980155993981146,52,556,525,False,False
248949078,13,0.5723045709490457,93,427,427,False,False
248949857,14,0.41361382120519696,92,949,954,False,False
248952191,8,0.6004337605607312,98,719,718,False,False
248952560,3,0.9099284385026399,59,492,488,False,False
248953025,10,0.609546657893968,93,690,693,False,False
248955543,7,0.9561757550254543,87,19,22,False,False
246851853,18,0.5524009150046377,128,228,231,False,False
246854655,13,0.6366596445790327,133,116,113,False,False
246859878,16,0.5636449113219085,139,129,138,False,False
246861224,3,0.9999999261659804,72,56,1,False,True
248956869,7,0.6475223542026798,84,504,503,False,False
248959076,7,0.7240191909497821,87,474,471,False,False
248962024,9,0.6173920544353391,96,510,531,False,False
248962582,10,0.6707069366691027,81,337,321,False,False
248986951,5,0.7568248685993499,50,373,318,False,False
248987739,12,0.6814375301806201,98,237,241,False,False
24940997,4,0.9097711315209396,63,254,253,False,False
251821926,8,0.7235203379105346,102,257,250,False,False
246862277,16,0.4746308990196545,126,493,475,False,False
246862438,10,0.6593783368347449,106,184,167,False,False
246883482,14,0.5720206327015496,131,300,299,False,False
24696180,32,0.40494213728896444,298,412,414,False,False
251828729,6,0.7350151991209974,84,446,412,False,False
251828912,8,0.701203270495413,105,236,232,False,False
251840720,18,0.46987809237680933,134,431,436,False,False
251841265,20,0.4358414106294768,140,677,678,False,False
251848060,8,0.7061946352854765,114,668,664,False,False
251848320,17,0.49383607334937996,128,489,480,False,False
251848941,21,0.39312258320170934,147,651,663,False,False
251853202,15,0.5710883632835364,118,168,163,False,False
251844875,18,0.5887329610093338,131,86,86,False,False
251845125,16,0.586037560835422,140,168,174,False,False
251845481,12,0.5123387436069766,136,819,815,False,False
251846711,21,0.35794321190322176,133,984,983,False,False
251879885,13,0.643766018547538,118,123,127,False,False
251881536,11,0.6763578070900585,115,195,185,False,False
251882735,12,0.5773735442719733,136,394,383,False,False
251884959,7,0.8992855209331693,105,152,154,False,False
251885366,6,0.9131099278855912,84,224,186,False,False
251885542,13,0.6292836338892004,136,293,298,False,False
251886567,14,0.5611092171161999,114,404,404,False,False
251886984,11,0.6393759503032852,132,203,201,False,False
259408567,5,0.9274659512641149,62,158,165,False,False
259472825,10,0.6173919996265906,88,431,421,False,False
259472888,10,0.7800138912705766,88,150,151,False,False
259477227,10,0.633061529968963,79,428,425,False,False
251887089,16,0.45252169511647566,125,708,705,False,False
25285103,16,0.4186639427889416,125,961,960,False,False
254302983,16,0.5327860437575846,132,359,354,False,False
254304085,16,0.5767875545960004,116,219,219,False,False
255632493,15,0.4742682516671495,126,815,814,False,False
257735550,14,0.5985666647611738,284,271,273,False,False
259377017,13,0.48143867364431303,82,608,600,False,False
259389138,12,0.47471034819831337,96,926,928,False,False
260750374,12,0.5956283400445558,129,509,509,False,False
260852493,15,0.5151870270077789,131,716,710,False,False
260854590,14,0.5196999667075946,125,734,739,False,False
261543672,15,0.5118975373634007,137,655,656,False,False
262820103,7,0.6480193785297501,71,721,711,False,False
262823544,8,0.8145735826080249,120,148,155,False,False
262824351,14,0.5222678849251277,118,603,590,False,False
262824477,12,0.6281761487111207,140,294,309,False,False
261561216,2,1.0,4,137,0,False,True
262530407,23,0.6337190842310829,286,11,8,False,True
262531321,15,0.5255305532032134,269,584,579,False,False
262810040,8,0.7349477233710583,77,330,322,False,False
262829638,2,1.0,18,96,0,False,True
262924431,3,0.9910503876882661,154,271,346,False,False
265438551,9,0.7752324650524783,143,527,546,False,False
265468668,20,0.3870069978513804,132,952,949,False,False
260188153,27,0.4170398391757919,304,791,791,False,False
260266449,30,0.4259167705495943,434,517,533,False,False
260300455,20,0.5129650742269755,300,129,133,False,False
260604507,15,0.47429866923607455,123,854,852,False,False
260604509,7,0.6926157403813916,83,495,494,False,False
260657210,3,0.9996208969870517,58,123,79,False,False
260708537,33,0.44836063475941645,455,167,166,False,False
265567103,10,0.6774426246355963,94,584,558,False,False
266640615,15,0.5546767607131029,112,432,410,False,False
266640848,9,0.6901040151978787,98,643,626,False,False
266787143,4,0.9559934253682518,46,266,284,False,False
266787510,11,0.6288544312032887,93,358,359,False,False
266788321,12,0.6953770298123803,96,187,196,False,False
266717622,9,0.7550383835172911,88,127,124,False,False
266723295,2,0.0,0,1000,1000,False,False
266735121,21,0.3560463721159546,98,966,965,False,False
266784171,6,0.910721799475967,67,205,200,False,False
266877446,5,0.8647911743269832,29,431,345,False,False
266905315,16,0.45800295811245206,136,805,812,False,False
266966946,16,0.528219453392329,142,379,383,False,False
266968065,15,0.5722013501889457,143,365,375,False,False
266994265,17,0.4862375027795973,123,667,670,False,False
266994443,9,0.5765895120993536,123,699,696,False,False
267002000,10,0.5450467684125102,128,521,531,False,False
267040956,13,0.5874224007037869,135,271,267,False,False
267041899,18,0.4420745865069643,125,823,818,False,False
267046790,17,0.4361680401312903,139,581,587,False,False
267063469,19,0.44629241190028257,139,783,784,False,False
267090033,6,0.7547139343547803,73,485,451,False,False
268751690,9,0.5849978974197836,83,685,698,False,False
268765642,11,0.6155174236225793,89,597,607,False,False
268765670,5,0.9451525902211999,80,252,288,False,False
268766053,12,0.5334846685057812,90,525,510,False,False
260356438,5,0.9328260247759979,395,428,481,False,False
260420562,48,0.31908410755617234,439,883,886,False,False
